BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,_YEAR
202304,전국,문화관광,4512036,0,2023
202304,전국,쇼핑,4985813,0,2023
202304,전국,숙박,3979186,0,2023
202304,전국,음식,16438152,0,2023
202304,전국,역사관광,1302531,0,2023
202304,전국,자연관광,891786,0,2023
202304,전국,체험관광,216462,0,2023
202304,전국,레저스포츠,2193288,0,2023
202305,전국,기타관광,3870797,0,2023
202305,전국,문화관광,4690672,0,2023
202305,전국,쇼핑,5292462,0,2023
202305,전국,숙박,4227070,0,2023
202305,전국,음식,17553275,0,2023
202305,전국,역사관광,1306102,0,2023
202305,전국,자연관광,933683,0,2023
202305,전국,체험관광,222371,0,2023
202305,전국,레저스포츠,2302633,0,2023
202306,전국,기타관광,3692816,0,2023
202306,전국,문화관광,4665751,0,2023
202306,전국,쇼핑,4925519,0,2023
202306,전국,숙박,4296386,0,2023
202306,전국,음식,16957731,0,2023
202306,전국,역사관광,1044855,0,2023
202306,전국,자연관광,1154837,0,2023
202306,전국,체험관광,214639,0,2023
202306,전국,레저스포츠,2341450,0,2023
202307,전국,기타관광,3628155,0,2023
202307,전국,문화관광,4407092,0,2023
202307,전국,쇼핑,5237753,0,2023
202307,전국,숙박,4693233,0,2023
202307,전국,음식,18439240,0,2023
202307,전국,레저스포츠,2081130,0,2023
202307,전국,역사관광,866322,0,2023
202307,전국,자연관광,1091381,0,2023
202307,전국,체험관광,201829,0,2023
202308,전국,기타관광,3918563,0,2023
202308,전국,문화관광,5192218,0,2023
202308,전국,쇼핑,5338999,0,2023
202308,전국,숙박,5285581,0,2023
202308,전국,음식,19614012,0,2023
202308,전국,레저스포츠,2204013,0,2023
202308,전국,역사관광,1068364,0,2023
202308,전국,자연관광,1802706,0,2023
202308,전국,체험관광,235251,0,2023
202309,전국,기타관광,4293701,0,2023
202309,전국,문화관광,5076723,0,2023
202309,전국,쇼핑,5582734,0,2023
202309,전국,숙박,4285146,0,2023
202309,전국,음식,17141911,0,2023
202309,전국,역사관광,1259828,0,2023
202309,전국,자연관광,2226067,0,2023
202309,전국,체험관광,240375,0,2023
202309,전국,레저스포츠,2400137,0,2023
202310,전국,기타관광,4689018,0,2023
202310,전국,문화관광,6387568,0,2023
