region,visits,night,weekend,야간비중,주말비중
은평구,37894865.0,9253224.0,12361947.0,24.41814741918199,32.621694258575666
강화군,17196704.0,3885767.0,7439657.0,22.595998628574407,43.26210999503161
연수구,51176520.0,10899007.0,17424998.0,21.2968896673709,34.0488137919499
고창군,9636640.0,2027969.0,3840065.0,21.044357784455993,39.8485883046373
포항시 북구,31770559.0,7885723.0,11538375.0,24.820850649810726,36.317821792181874
달서구,57097495.0,13102411.0,18247769.0,22.947435785055017,31.9589659756527
관악구,68261652.0,15992858.0,21081755.0,23.428759093026343,30.883745679052716
수영구,41449336.0,9402995.0,14526474.0,22.68551419014288,35.04633705109293
서귀포시,44107359.0,13246986.0,13849563.0,30.03350529330038,31.399665076297133
계룡시,5467753.0,1058020.0,1741692.0,19.350179132085888,31.853889522807634
강릉시,34369101.0,9931456.0,12895102.0,28.89646720756531,37.51946261265315
김포시,52503774.0,10463338.0,17798152.0,19.928735027695343,33.89880506494638
양주시,35057313.0,6594966.0,12346491.0,18.811955154691976,35.218018562917244
의왕시,31454757.0,4616797.0,10579539.0,14.677579610613428,33.634146339137196
하남시,58949343.0,10220766.0,21660814.0,17.338218680401578,36.74479289786147
인제군,9881182.0,1879470.0,3974741.0,19.0207001551029,40.22535967862954
철원군,6823546.0,1562259.0,2606549.0,22.895119341175395,38.19933213610636
미추홀구,47154445.0,10398370.0,14808905.0,22.051728103257286,31.405109316841713
남원시,10841883.0,2317866.0,4139218.0,21.378813993842215,38.17803604779723
대덕구,28563443.0,4929055.0,9237499.0,17.25651560983037,32.34028544808131
보령시,17779609.0,4992043.0,7510732.0,28.077349732494117,42.243516153814184
안양시 만안구,31915788.0,5721664.0,10315122.0,17.927378136488436,32.31980986964821
사천시,15397927.0,3145638.0,5680671.0,20.42897073093021,36.89244013171383
하동군,7826679.0,1430591.0,3268607.0,18.27839112860001,41.76237456525303
고양시 일산서구,42116904.0,7803675.0,14742917.0,18.52860552143149,35.00475011173661
도봉구,34511907.0,6960399.0,11125476.0,20.168108937011215,32.23663067937683
성동구,78024328.0,14335356.0,23546430.0,18.372931068371393,30.178318229155398
남구,130697093.0,27327640.0,39831530.0,20.909141414491906,30.476217248382103
부평구,50612552.0,11722498.0,17070044.0,23.161246640951834,33.72689841840024
서구,227511915.0,47657769.0,72593508.0,20.947372800233342,31.907563170922277
영양군,1821532.0,491401.0,651106.0,26.97734654126307,35.74496632504947
청도군,10707684.0,1933296.0,4863428.0,18.055220904912773,45.419980641939006
