시군,방문_2024,방문_2026,관광소비_방문당_2024,관광소비_방문당_2026,체험문화_2024,체험문화_2026,방문_변화율,관광소비_변화율,체험문화_변화율
서산시,11943236.0,12086822.0,17764.36712797101,17808.963845086822,241.79636071831789,215.62293214874848,0.012022369816689471,0.002510459100205864,-0.10824575064659592
서천군,7005439.0,6991106.0,10131.354508975097,9809.979565465035,239.42682250177327,221.008664437358,-0.002045981700789956,-0.031720826985706996,-0.07692604308892281
성주군,4996993.0,5165392.0,26324.340858592357,25992.892504576612,86.6831312351248,51.22805781245644,0.0337000672204264,-0.012590945991628133,-0.4090192972667056
세종특별자치시,20890638.0,22638466.0,15164.843984180856,14855.463705005453,311.9120631930915,300.4588296751202,0.0836656113614147,-0.0204011514723218,-0.036719431113765744
속초시,16630285.0,17973055.0,23934.82661301355,25401.63967672719,756.5842076669161,728.1101626851973,0.08074245269999891,0.06128363022760008,-0.037634997787654556
순창군,3039032.0,3142228.0,8621.906580779669,7999.643565011832,240.29164549764533,212.7856412710981,0.03395686521234387,-0.07217232174087951,-0.11446924910594436
순천시,16920457.0,18379222.0,15551.428723231293,15142.249274751674,220.99237626974258,192.76866017506075,0.08621309696304302,-0.026311373428241525,-0.12771352827226967
시흥시,35789519.0,37762705.0,23029.756253499803,23111.53064908883,354.34795868589345,336.9082273105171,0.055133068427100085,0.003550814636893884,-0.04921640141529804
신안군,5164868.0,5020338.0,6001.824054361118,6357.170572977358,124.59059941125312,125.19993673732725,-0.027983290182827525,0.05920642048112579,0.004890716706986931
아산시,25309609.0,27943423.0,18258.07522352479,18428.578560328846,374.31917656254586,315.9892043290473,0.10406379648140751,0.009338516503884842,-0.15582950563515163
안동시,11100086.0,11726312.0,15571.868632369155,15134.01997149658,183.47290282255472,152.66675490128523,0.05641631965734328,-0.0281179267054964,-0.16790570949358974
안성시,22479630.0,24918766.0,30030.33408468022,30715.972211465047,238.21504179561674,279.59911819068407,0.10850427698320653,0.02283151845235709,0.1737257063329105
양구군,1960932.0,1944676.0,9847.464368983728,11436.899000141926,151.1781132645089,172.91158012954344,-0.008289935602050491,0.16140547166277575,0.143760670084621
양산시,23433788.0,24808015.0,15493.308934944705,15031.250102033557,302.4965063266767,283.52542514989614,0.05864297312922684,-0.029823121377834827,-0.06271504225669644
양양군,10450534.0,10726738.0,13732.14258716349,17049.988635874204,265.7380952973312,200.382819082558,0.02642965421671284,0.241611680599076,-0.2459386793664189
양주시,22587904.0,22654847.0,18357.432323069905,19670.80845878147,347.49983885180313,337.53218461373854,0.0029636658629326185,0.07154465355490025,-0.028683910389712297
양평군,19455016.0,19514451.0,13249.297456244703,13942.352874800321,152.2936809715294,185.35858374903808,0.003054996202521698,0.0523088428533216,0.21711276900379084
여수시,18287071.0,17349503.0,19794.430338242793,21536.93745578764,1078.9295891069708,1063.8502440098716,-0.05126944604742878,0.08803017251667633,-0.01397620868807603
여주시,15932558.0,16084376.0,42580.02255507245,44500.182599561216,149.08742212016426,157.76210404432226,0.00952879004112206,0.04509532708690456,0.05818520302246699
연천군,6106550.0,6157046.0,9731.907541901728,9948.709169949356,194.7625091090714,169.92807914704554,0.008269153613742697,0.022277403182692224,-0.12751134741295633
영광군,4638758.0,4648001.0,10822.177186220966,10663.312895156434,43.51337146710391,47.89736491020548,0.001992559215203693,-0.014679513034290492,0.100750488764491
영덕군,6857377.0,7168522.0,12875.60520589724,15876.672764622888,36.72162110964586,28.97528946692219,0.04537376317504482,0.23308166961744914,-0.21094743120392634
영동군,4374165.0,4483845.0,11027.5650324119,11925.633691619581,77.2035348460792,84.51474125443676,0.025074499933130046,0.0814385275959022,0.09470041006456409
