시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
홍천군,202004,217225000.0,217225000.0,19854209000.0,977265.0
홍천군,202005,641879000.0,634359000.0,26893591000.0,1315305.0
홍천군,202006,1038410000.0,1029710000.0,28149200000.0,1328890.0
홍천군,202007,2369476000.0,2365263000.0,33588216000.0,1648500.0
홍천군,202008,3547394000.0,3530102000.0,40600957000.0,1831416.0
홍천군,202009,607156000.0,605152000.0,28514705000.0,1149574.0
홍천군,202010,711075000.0,707978000.0,32956612000.0,1577681.0
홍천군,202011,193966000.0,189627000.0,24915721000.0,1054143.0
홍천군,202012,1551455000.0,1551231000.0,19522410000.0,950903.0
홍천군,202101,1352610000.0,1351160000.0,17247601000.0,733030.0
홍천군,202102,2052204000.0,2052204000.0,23901893000.0,952193.0
홍천군,202103,96157000.0,93690000.0,21477981000.0,923009.0
홍천군,202104,101699000.0,98071000.0,27886076000.0,1098148.0
홍천군,202105,145048000.0,140814000.0,32747107000.0,1292211.0
홍천군,202106,134715000.0,130356000.0,33719479000.0,1281573.0
홍천군,202107,190559000.0,185440000.0,41526664000.0,1594457.0
홍천군,202108,267977000.0,262806000.0,43345172000.0,1740709.0
홍천군,202109,219986000.0,214179000.0,35099845000.0,1406679.0
홍천군,202110,209931000.0,203563000.0,39388606000.0,1500293.0
홍천군,202111,163270000.0,159637000.0,30672501000.0,1141261.0
홍천군,202112,206599000.0,206358000.0,32841912000.0,1214551.0
홍천군,202201,140028000.0,140028000.0,40412027000.0,1385576.0
홍천군,202202,130222000.0,130222000.0,30223233000.0,1147191.0
홍천군,202203,83744000.0,81810000.0,21235226000.0,881274.0
홍천군,202204,118041000.0,113033000.0,33647363000.0,1290304.0
홍천군,202205,213544000.0,208723000.0,41656414000.0,1625847.0
홍천군,202206,149164000.0,144541000.0,41516209000.0,1564027.0
홍천군,202207,219035000.0,215949000.0,58536363000.0,2002598.0
홍천군,202208,184259000.0,180474000.0,60810409000.0,2051036.0
홍천군,202209,134460000.0,129296000.0,40108021000.0,1481385.0
홍천군,202210,169181000.0,162463000.0,44218264000.0,1607485.0
홍천군,202211,132273000.0,128385000.0,33157068000.0,1181054.0
홍천군,202212,172184000.0,172092000.0,37955055000.0,1232569.0
홍천군,202301,206345000.0,206345000.0,44376536000.0,1403338.0
홍천군,202302,171704000.0,171704000.0,35091913000.0,1177933.0
홍천군,202303,147681000.0,129206000.0,26213542000.0,1044082.0
