SGG_CD,SGG_NM,MCLS_NM,SRCH_CNT,TOTL_CNT,SPPY_SRCH_CNT,SPPY_SRCH_PER,TOTL_SPPY_SRCH_CNT,TOTL_SPPY_SRCH_PER
46170,전라남도 나주시,문화관광,304199404,2688055119,,,,
46170,전라남도 나주시,쇼핑,154088721,2688055119,,,,
46170,전라남도 나주시,숙박,285331364,2688055119,,,,
46170,전라남도 나주시,역사관광,75971353,2688055119,,,,
46170,전라남도 나주시,음식,1445063818,2688055119,,,,
46170,전라남도 나주시,자연관광,110908743,2688055119,,,,
46170,전라남도 나주시,체험관광,14532972,2688055119,,,,
46810,전라남도 강진군,기타관광,174002006,2688055119,,,,
46810,전라남도 강진군,레저스포츠,123956738,2688055119,,,,
46810,전라남도 강진군,문화관광,304199404,2688055119,,,,
46810,전라남도 강진군,쇼핑,154088721,2688055119,,,,
46810,전라남도 강진군,숙박,285331364,2688055119,,,,
46810,전라남도 강진군,역사관광,75971353,2688055119,,,,
46810,전라남도 강진군,음식,1445063818,2688055119,,,,
46810,전라남도 강진군,자연관광,110908743,2688055119,,,,
46810,전라남도 강진군,체험관광,14532972,2688055119,,,,
44825,충청남도 태안군,기타관광,174002006,2688055119,,,,
44825,충청남도 태안군,레저스포츠,123956738,2688055119,,,,
44825,충청남도 태안군,문화관광,304199404,2688055119,,,,
44825,충청남도 태안군,쇼핑,154088721,2688055119,,,,
44825,충청남도 태안군,숙박,285331364,2688055119,,,,
44825,충청남도 태안군,역사관광,75971353,2688055119,,,,
44825,충청남도 태안군,음식,1445063818,2688055119,,,,
44825,충청남도 태안군,자연관광,110908743,2688055119,,,,
44825,충청남도 태안군,체험관광,14532972,2688055119,,,,
46110,전라남도 목포시,기타관광,174002006,2688055119,,,,
46110,전라남도 목포시,레저스포츠,123956738,2688055119,,,,
46110,전라남도 목포시,문화관광,304199404,2688055119,,,,
46110,전라남도 목포시,쇼핑,154088721,2688055119,,,,
46110,전라남도 목포시,숙박,285331364,2688055119,,,,
46110,전라남도 목포시,역사관광,75971353,2688055119,,,,
46110,전라남도 목포시,음식,1445063818,2688055119,,,,
46110,전라남도 목포시,자연관광,110908743,2688055119,,,,
46110,전라남도 목포시,체험관광,14532972,2688055119,,,,
46710,전라남도 담양군,기타관광,174002006,2688055119,,,,
46710,전라남도 담양군,레저스포츠,123956738,2688055119,,,,
46710,전라남도 담양군,문화관광,304199404,2688055119,,,,
46710,전라남도 담양군,쇼핑,154088721,2688055119,,,,
46710,전라남도 담양군,숙박,285331364,2688055119,,,,
46710,전라남도 담양군,역사관광,75971353,2688055119,,,,
46710,전라남도 담양군,음식,1445063818,2688055119,,,,
46710,전라남도 담양군,자연관광,110908743,2688055119,,,,
46710,전라남도 담양군,체험관광,14532972,2688055119,,,,
46840,전라남도 무안군,기타관광,174002006,2688055119,,,,
46840,전라남도 무안군,레저스포츠,123956738,2688055119,,,,
46840,전라남도 무안군,문화관광,304199404,2688055119,,,,
46840,전라남도 무안군,쇼핑,154088721,2688055119,,,,
46840,전라남도 무안군,숙박,285331364,2688055119,,,,
46840,전라남도 무안군,역사관광,75971353,2688055119,,,,
46840,전라남도 무안군,음식,1445063818,2688055119,,,,
46840,전라남도 무안군,자연관광,110908743,2688055119,,,,
46840,전라남도 무안군,체험관광,14532972,2688055119,,,,
46780,전라남도 보성군,기타관광,174002006,2688055119,,,,
46780,전라남도 보성군,레저스포츠,123956738,2688055119,,,,
46780,전라남도 보성군,문화관광,304199404,2688055119,,,,
46780,전라남도 보성군,쇼핑,154088721,2688055119,,,,
46780,전라남도 보성군,숙박,285331364,2688055119,,,,
46780,전라남도 보성군,역사관광,75971353,2688055119,,,,
46780,전라남도 보성군,음식,1445063818,2688055119,,,,
46780,전라남도 보성군,자연관광,110908743,2688055119,,,,
46780,전라남도 보성군,체험관광,14532972,2688055119,,,,
46130,전라남도 여수시,기타관광,174002006,2688055119,,,,
46130,전라남도 여수시,레저스포츠,123956738,2688055119,,,,
46130,전라남도 여수시,문화관광,304199404,2688055119,,,,
46130,전라남도 여수시,쇼핑,154088721,2688055119,,,,
46130,전라남도 여수시,숙박,285331364,2688055119,,,,
46130,전라남도 여수시,역사관광,75971353,2688055119,,,,
46130,전라남도 여수시,음식,1445063818,2688055119,,,,
46130,전라남도 여수시,자연관광,110908743,2688055119,,,,
46130,전라남도 여수시,체험관광,14532972,2688055119,,,,
46150,전라남도 순천시,기타관광,174002006,2688055119,,,,
46150,전라남도 순천시,레저스포츠,123956738,2688055119,,,,
46150,전라남도 순천시,문화관광,304199404,2688055119,,,,
46150,전라남도 순천시,쇼핑,154088721,2688055119,,,,
46150,전라남도 순천시,숙박,285331364,2688055119,,,,
46150,전라남도 순천시,역사관광,75971353,2688055119,,,,
46150,전라남도 순천시,음식,1445063818,2688055119,,,,
46150,전라남도 순천시,자연관광,110908743,2688055119,,,,
46150,전라남도 순천시,체험관광,14532972,2688055119,,,,
