SGG_CD,SGG_NM,PERIOD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2018,충청남도,보령시,299,17.0,2.0,21,5.0,7.0
47170,경상북도 안동시,2018,충청남도,서산시,299,17.0,2.0,19,4.0,6.4
47170,경상북도 안동시,2018,충청남도,공주시,299,17.0,2.0,18,4.0,6.0
47170,경상북도 안동시,2018,충청남도,당진시,299,17.0,2.0,18,4.0,6.0
47170,경상북도 안동시,2018,충청남도,논산시,299,17.0,2.0,11,3.0,3.7
47170,경상북도 안동시,2018,충청남도,예산군,299,17.0,2.0,11,3.0,3.7
47170,경상북도 안동시,2018,충청남도,금산군,299,17.0,2.0,10,3.0,3.3
47170,경상북도 안동시,2018,충청남도,서천군,299,17.0,2.0,7,3.0,2.3
47170,경상북도 안동시,2018,충청남도,계룡시,299,17.0,2.0,6,2.0,2.0
47170,경상북도 안동시,2018,충청남도,홍성군,299,17.0,2.0,6,2.0,2.0
47170,경상북도 안동시,2018,충청남도,부여군,299,17.0,2.0,5,2.0,1.7
47170,경상북도 안동시,2018,충청남도,태안군,299,17.0,2.0,4,2.0,1.3
47170,경상북도 안동시,2018,충청남도,청양군,299,17.0,2.0,1,1.0,0.3
47170,경상북도 안동시,2018,대전광역시,서구,213,15.0,1.5,71,8.0,33.3
47170,경상북도 안동시,2018,울산광역시,울주군,214,15.0,1.5,69,8.0,32.2
47170,경상북도 안동시,2018,울산광역시,남구,214,15.0,1.5,66,8.0,30.8
47170,경상북도 안동시,2018,대전광역시,유성구,213,15.0,1.5,62,8.0,29.1
47170,경상북도 안동시,2018,울산광역시,북구,214,15.0,1.5,32,6.0,15.0
47170,경상북도 안동시,2018,대전광역시,중구,213,15.0,1.5,31,6.0,14.6
47170,경상북도 안동시,2018,대전광역시,동구,213,15.0,1.5,25,5.0,11.7
47170,경상북도 안동시,2018,울산광역시,동구,214,15.0,1.5,25,5.0,11.7
47170,경상북도 안동시,2018,대전광역시,대덕구,213,15.0,1.5,24,5.0,11.3
47170,경상북도 안동시,2018,울산광역시,중구,214,15.0,1.5,22,5.0,10.3
47170,경상북도 안동시,2018,인천광역시,부평구,211,15.0,1.4,48,7.0,22.7
