SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
41196,경기도 부천시 오정구,5,관광소비,39,221
41192,경기도 부천시 원미구,1,방문자유입,116,144
41192,경기도 부천시 원미구,2,숙박방문자 비율,63,197
41192,경기도 부천시 원미구,3,체류시간,42,218
41192,경기도 부천시 원미구,4,목적지 검색량,116,143
41192,경기도 부천시 원미구,5,관광소비,128,132
41135,경기도 성남시 분당구,1,방문자유입,251,9
41135,경기도 성남시 분당구,2,숙박방문자 비율,229,31
41135,경기도 성남시 분당구,3,체류시간,55,205
41135,경기도 성남시 분당구,4,목적지 검색량,250,9
41135,경기도 성남시 분당구,5,관광소비,253,7
41131,경기도 성남시 수정구,1,방문자유입,195,65
41131,경기도 성남시 수정구,2,숙박방문자 비율,147,113
41131,경기도 성남시 수정구,3,체류시간,74,186
41131,경기도 성남시 수정구,4,목적지 검색량,151,108
41131,경기도 성남시 수정구,5,관광소비,171,89
41133,경기도 성남시 중원구,1,방문자유입,142,118
41133,경기도 성남시 중원구,2,숙박방문자 비율,130,130
41133,경기도 성남시 중원구,3,체류시간,111,149
41133,경기도 성남시 중원구,4,목적지 검색량,72,187
41133,경기도 성남시 중원구,5,관광소비,140,120
41113,경기도 수원시 권선구,1,방문자유입,201,59
41113,경기도 수원시 권선구,2,숙박방문자 비율,173,87
41113,경기도 수원시 권선구,3,체류시간,107,153
41113,경기도 수원시 권선구,4,목적지 검색량,208,51
41113,경기도 수원시 권선구,5,관광소비,227,33
41117,경기도 수원시 영통구,1,방문자유입,229,31
41117,경기도 수원시 영통구,2,숙박방문자 비율,184,76
41117,경기도 수원시 영통구,3,체류시간,70,190
41117,경기도 수원시 영통구,4,목적지 검색량,221,38
41117,경기도 수원시 영통구,5,관광소비,206,54
41111,경기도 수원시 장안구,1,방문자유입,188,72
41111,경기도 수원시 장안구,2,숙박방문자 비율,139,121
41111,경기도 수원시 장안구,3,체류시간,71,189
41111,경기도 수원시 장안구,4,목적지 검색량,171,88
41111,경기도 수원시 장안구,5,관광소비,155,105
41115,경기도 수원시 팔달구,1,방문자유입,242,18
41115,경기도 수원시 팔달구,2,숙박방문자 비율,213,47
41115,경기도 수원시 팔달구,3,체류시간,19,241
41115,경기도 수원시 팔달구,4,목적지 검색량,223,36
41115,경기도 수원시 팔달구,5,관광소비,240,20
41390,경기도 시흥시,1,방문자유입,225,35
41390,경기도 시흥시,2,숙박방문자 비율,223,37
41390,경기도 시흥시,3,체류시간,137,123
41390,경기도 시흥시,4,목적지 검색량,236,23
41390,경기도 시흥시,5,관광소비,235,25
41273,경기도 안산시 단원구,1,방문자유입,223,37
41273,경기도 안산시 단원구,2,숙박방문자 비율,236,24
41273,경기도 안산시 단원구,3,체류시간,114,146
41273,경기도 안산시 단원구,4,목적지 검색량,210,49
41273,경기도 안산시 단원구,5,관광소비,222,38
41550,경기도 안성시,1,방문자유입,175,85
41550,경기도 안성시,2,숙박방문자 비율,154,106
41550,경기도 안성시,3,체류시간,119,141
41550,경기도 안성시,4,목적지 검색량,211,48
41550,경기도 안성시,5,관광소비,213,47
41271,경기도 안산시 상록구,1,방문자유입,151,109
41271,경기도 안산시 상록구,2,숙박방문자 비율,162,98
41271,경기도 안산시 상록구,3,체류시간,218,42
41271,경기도 안산시 상록구,4,목적지 검색량,138,121
41271,경기도 안산시 상록구,5,관광소비,167,93
