SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11620,서울특별시 관악구,201901,,4649099.0,,
11620,서울특별시 관악구,201902,,4223289.0,,
11620,서울특별시 관악구,201903,,5634853.0,,
11620,서울특별시 관악구,201904,,4100380.0,,
11620,서울특별시 관악구,201905,,4689576.0,,
11620,서울특별시 관악구,201906,,4598062.0,,
11620,서울특별시 관악구,201907,,4992827.0,,
11620,서울특별시 관악구,201908,,5261372.0,,
11620,서울특별시 관악구,201909,,4992505.0,,
11620,서울특별시 관악구,201910,,4689654.0,,
11620,서울특별시 관악구,201911,,5121620.0,,
11620,서울특별시 관악구,201912,,4816172.0,,
11620,서울특별시 관악구,202001,,4611334.0,,
11620,서울특별시 관악구,202002,,3849618.0,,
11620,서울특별시 관악구,202003,,3547635.0,,
11620,서울특별시 관악구,202004,,3682595.0,,
11620,서울특별시 관악구,202005,,4236872.0,,
11620,서울특별시 관악구,202006,,3781656.0,,
11620,서울특별시 관악구,202007,,4049906.0,,
11620,서울특별시 관악구,202008,,3732351.0,,
11620,서울특별시 관악구,202009,,3556217.0,,
11620,서울특별시 관악구,202010,,4408170.0,,
11620,서울특별시 관악구,202011,,4227783.0,,
11620,서울특별시 관악구,202012,,3486928.0,,
11620,서울특별시 관악구,202101,202001,3734507.0,,
11620,서울특별시 관악구,202102,202002,3852258.0,,
11620,서울특별시 관악구,202103,202003,4787870.0,,
11620,서울특별시 관악구,202104,202004,4180253.0,,
11620,서울특별시 관악구,202105,202005,4416948.0,,
11620,서울특별시 관악구,202106,202006,4187519.0,,
11620,서울특별시 관악구,202107,202007,3967824.0,,
11620,서울특별시 관악구,202108,202008,3949942.0,,
11620,서울특별시 관악구,202109,202009,4248254.0,,
11620,서울특별시 관악구,202110,202010,4490916.0,,
11620,서울특별시 관악구,202111,202011,4503380.0,,
11620,서울특별시 관악구,202112,202012,4342338.0,,
11620,서울특별시 관악구,202201,202101,4493293.0,,
11620,서울특별시 관악구,202202,202102,3865484.0,,
11620,서울특별시 관악구,202203,202103,4679314.0,,
11620,서울특별시 관악구,202204,202104,4862960.0,,
11620,서울특별시 관악구,202205,202105,5120532.0,,
11620,서울특별시 관악구,202206,202106,4688474.0,,
11620,서울특별시 관악구,202207,202107,4912971.0,,
11620,서울특별시 관악구,202208,202108,4839702.0,,
11620,서울특별시 관악구,202209,202109,5089588.0,,
11620,서울특별시 관악구,202210,202110,5039531.0,,
11620,서울특별시 관악구,202211,202111,4739130.0,,
11620,서울특별시 관악구,202212,202112,4723880.0,,
11620,서울특별시 관악구,202301,202201,4655378.0,,
11620,서울특별시 관악구,202302,202202,4682682.0,,
11620,서울특별시 관악구,202303,202203,5551210.0,,
11620,서울특별시 관악구,202304,202204,4576761.0,,
11620,서울특별시 관악구,202305,202205,4931658.0,,
11620,서울특별시 관악구,202306,202206,4660439.0,,
11620,서울특별시 관악구,202307,202207,4855039.0,,
11620,서울특별시 관악구,202308,202208,4757064.0,,
11620,서울특별시 관악구,202309,202209,5111872.0,,
11620,서울특별시 관악구,202310,202210,5036630.0,,
11620,서울특별시 관악구,202311,202211,4904039.0,,
11620,서울특별시 관악구,202312,202212,5102996.0,,
11620,서울특별시 관악구,202401,202301,4916625.0,,
11620,서울특별시 관악구,202402,202302,4776160.0,,
11620,서울특별시 관악구,202403,202303,5943528.0,,
11620,서울특별시 관악구,202404,202304,4893854.0,,
11620,서울특별시 관악구,202405,202305,5148003.0,,
11620,서울특별시 관악구,202406,202306,5040301.0,,
11620,서울특별시 관악구,202407,202307,5228030.0,,
