,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
정읍시,1177.3052,1.4905764523764908,12991.47366375346,34.06386980124514,11.319851825234206,3.5059598291151906,22.73354602372244,-7.861825536673928,11.141950437711314,-1.7554156936975556,0.9981732835054912,0.7906384923186472,25.90451822612193,,,,,8.024519138366259,122.23675156473215,33.63636363636364,35.95959595959596,34.7979797979798,60.0,0.0,64.0
제주시,6011.1076,16.901513084178156,27584.150498320807,-19.055350248346027,-13.708005023849545,-0.8859109462354908,40.65371205355416,-7.041332795823885,21.512577899998867,-4.165389450449183,2.7145928471591283,2.0308027058568925,37.02985328622667,탐라문화제,133245.0,33.64,1.0,11.966312429453785,0.0,60.0,51.111111111111114,55.55555555555556,17.0,16.666666666666664,45.0
제천시,1588.0297,16.12061869487984,20787.655482765844,4.230416507931123,5.052220606422719,1.4802803534312403,27.720361219015818,-11.464285948210994,18.499813949911797,-0.1702231067870059,8.716037349541853,1.281171403795323,28.05005570452036,,,,,-11.047352612094341,0.0,43.63636363636364,35.555555555555564,39.5959595959596,53.0,0.0,61.0
진안군,501.5661,16.636172400658378,10183.489673644212,19.40888364040731,11.526714627714371,4.008441727326573,14.927558474463476,-14.148260497638066,10.223974397389911,-1.523025776362271,0.9058668598184402,0.2607772134786796,28.462694274589555,진안홍삼축제,65139.0,65.24,1.0,-0.6433118555581707,192.91535298707817,46.36363636363636,75.75757575757576,61.06060606060606,11.0,33.33333333333333,22.0
진주시,2363.1729,-0.8789543750644668,13647.519696929498,-0.0368457001382438,-1.387196277300362,4.141178813072677,34.527041322301855,-1.4678042252062815,12.509842540960657,-0.3856338214950412,1.6762642355349453,2.4012719775902656,37.51002199166328,,,,,2.0552191591779234,90.32750612036588,53.93939393939394,34.747474747474755,44.343434343434346,40.0,0.0,53.0
철원군,682.3546,6.997412698163807,10344.529808987878,9.738093673503576,7.860986080527255,-7.303698291454818,27.20903107533828,-22.85119683799608,13.194259676716891,-1.7584465238473417,2.720389026919147,2.7469054757380587,46.18429406524984,,,,,-13.819949753485083,251.46265934510632,61.515151515151516,31.51515151515152,46.515151515151516,36.0,0.0,58.0
청도군,1070.7684,16.404393928094585,13857.51690094702,20.46012415675773,15.750714891934647,2.567093604651771,13.341306630847692,-12.03312736052997,10.195812796182478,-0.9309886583608088,1.385499062715946,0.94017928546439,31.547895136975995,,,,,-3.8348777505280096,18.442120141422993,36.060606060606055,47.27272727272728,41.66666666666667,47.0,0.0,58.0
청송군,500.6931,3.4912821810235695,10510.778558761844,14.110468606610471,4.235965273209175,1.7928924537393254,21.11238282589752,-8.042164177900569,13.90551983052928,-3.2507298713781605,8.06130259666649,0.5947489473175264,34.27525241301746,청송사과축제,147072.0,61.05,1.0,15.907799909470732,176.19244585761166,50.60606060606061,53.53535353535354,52.07070707070707,25.0,0.0,44.0
춘천시,3031.7533,1.7907907494859376,18538.845756348313,3.177893621139072,5.136967545547622,-1.9730079472533912,33.05727763162982,-17.792337583620043,15.559338862815917,-0.438302382239053,2.63856835413334,4.456613083754368,39.55854246585567,춘천마임축제,251350.0,33.59,1.0,-16.838523552667095,0.0,48.484848484848484,32.92929292929293,40.707070707070706,50.0,0.0,58.0
충주시,3136.3094,34.009991390622,17277.663581278048,-14.618297010548186,-3.884573047259221,-1.0487348897164517,25.898973529317924,-33.71808713197535,11.670971524663049,-4.755871929630636,2.079482630011523,1.4427664353538203,25.524138015198528,,,,,-7.523705189295027,0.0,77.57575757575758,36.36363636363637,56.96969696969697,16.0,12.5,42.0
