조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
44,2026_1-8,11,서울특별시,1,외지인,288799492053354.2,767785395499433.4,37.61
44,2026_1-8,31,울산광역시,1,외지인,2900589063394.4907,8415518449684.004,34.47
44,2026_1-8,26,부산광역시,1,외지인,36386362480715.24,108635210664650.42,33.49
44,2026_1-8,28,인천광역시,1,외지인,29031526549496.73,87398420741028.45,33.22
44,2026_1-8,27,대구광역시,1,외지인,13121450627032.203,40445637219573.99,32.44
44,2026_1-8,30,대전광역시,1,외지인,5399853073617.99,16789865887185.564,32.16
44,2026_1-8,50,제주특별자치도,1,외지인,1171697143166.399,3650436668890.4023,32.1
44,2026_1-8,43,충청북도,1,외지인,18373989150187.75,57371691062227.055,32.03
44,2026_1-8,36,세종특별자치시,1,외지인,107602682232.29997,336304910459.1,32.0
44,2026_1-8,41,경기도,1,외지인,462216136286722.9,1461009967136691.0,31.64
44,2026_1-8,47,경상북도,1,외지인,28967040396807.758,95014046440291.88,30.49
44,2026_1-8,48,경상남도,1,외지인,28445105586948.586,93509596913262.8,30.42
44,2026_1-8,52,전북특별자치도,1,외지인,11759378849220.953,38696790136678.44,30.39
44,2026_1-8,51,강원특별자치도,1,외지인,19650286037055.652,65603224280696.6,29.95
44,2026_1-8,44,충청남도,1,외지인,19675527413027.312,66654659156525.85,29.52
44,2026_1-8,12,전남광주통합특별시,1,외지인,23865201427230.926,82917559467377.47,28.78
44,2026_1-8,31,울산광역시,2,외국인,39644167520.99998,93639662245.00009,42.34
44,2026_1-8,36,세종특별자치시,2,외국인,2600789011.2,6141954273.400004,42.34
44,2026_1-8,43,충청북도,2,외국인,155656073125.4994,385041422283.0035,40.43
44,2026_1-8,47,경상북도,2,외국인,526379777234.4039,1310072702723.978,40.18
44,2026_1-8,52,전북특별자치도,2,외국인,191092959828.80222,479879867062.4035,39.82
44,2026_1-8,28,인천광역시,2,외국인,4389932761457.928,11308068652579.23,38.82
44,2026_1-8,48,경상남도,2,외국인,407020226457.29626,1087455285528.6375,37.43
44,2026_1-8,12,전남광주통합특별시,2,외국인,225714804576.8048,604562494387.2076,37.34
44,2026_1-8,44,충청남도,2,외국인,222430634012.30038,610517749725.8008,36.43
44,2026_1-8,27,대구광역시,2,외국인,209231785093.69962,600544474265.6996,34.84
44,2026_1-8,26,부산광역시,2,외국인,4735608484540.798,13959276961022.693,33.92
44,2026_1-8,41,경기도,2,외국인,13049889540722.082,39326226981483.4,33.18
44,2026_1-8,50,제주특별자치도,2,외국인,267606227948.99994,821040881150.1998,32.59
44,2026_1-8,11,서울특별시,2,외국인,61934360634090.45,194533436308763.47,31.84
44,2026_1-8,30,대전광역시,2,외국인,69303261868.0,225162029160.4999,30.78
44,2026_1-8,51,강원특별자치도,2,외국인,278227399825.80426,919819895599.7871,30.25
44,2026_1-8,11,서울특별시,3,내국인,300742771458569.56,816234270334809.2,36.85
44,2026_1-8,31,울산광역시,3,내국인,2980851755180.5,8747049164417.509,34.08
44,2026_1-8,28,인천광역시,3,내국인,29426810385298.945,88857259902760.06,33.12
44,2026_1-8,26,부산광역시,3,내국인,38020202522784.95,116224250294299.06,32.71
44,2026_1-8,27,대구광역시,3,내국인,13473832403029.014,41836581430416.23,32.21
44,2026_1-8,36,세종특별자치시,3,내국인,109686933956.29994,343823092217.49976,31.9
44,2026_1-8,43,충청북도,3,내국인,18814563367021.676,59227609598215.96,31.77
44,2026_1-8,30,대전광역시,3,내국인,5649895339464.502,17893276654892.004,31.58
44,2026_1-8,50,제주특별자치도,3,내국인,1205935526296.199,3821199340559.002,31.56
44,2026_1-8,41,경기도,3,내국인,478568271529413.6,1527085813165682.0,31.34
44,2026_1-8,52,전북특별자치도,3,내국인,11993955958411.494,39638585597061.56,30.26
