조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
43,2024_1-8,202404,2,외국인,721085572.5,1801539677.7
43,2024_1-8,202405,2,외국인,627401890.5999997,1670419062.6999996
43,2024_1-8,202406,2,외국인,668781547.8000002,1762749636.0999992
43,2024_1-8,202407,2,외국인,597697457.9999999,1525907683.6999993
43,2024_1-8,202408,2,외국인,583863226.6999999,1520512744.3999999
43,2026_1-8,202601,0,현지인,3290676503.9000006,13637707622.099995
43,2026_1-8,202602,0,현지인,3341436636.000002,13908612358.200012
43,2026_1-8,202603,0,현지인,3740417188.9,16566927155.000006
43,2026_1-8,202604,0,현지인,3992059765.600001,16381913524.299997
43,2026_1-8,202605,0,현지인,4297793639.9,18350409575.899998
43,2026_1-8,202606,0,현지인,3762248005.000001,15886297939.299994
43,2026_1-8,202607,0,현지인,3581213183.899999,14562957452.500004
43,2026_1-8,202608,0,현지인,3365769532.4,14433076771.900003
43,2026_1-8,202601,1,외지인,138217202357.10004,427761514397.9001
43,2026_1-8,202602,1,외지인,132806685380.89995,423812744848.19946
43,2026_1-8,202603,1,외지인,153253601527.1,470257138324.80023
43,2026_1-8,202604,1,외지인,157032359107.50006,480541844018.80084
43,2026_1-8,202605,1,외지인,174146985681.90005,546401935047.5998
43,2026_1-8,202606,1,외지인,158634638671.6,488991150459.9003
43,2026_1-8,202607,1,외지인,154991815800.20007,484786469683.7
43,2026_1-8,202608,1,외지인,155849321486.20007,502226607367.5997
43,2026_1-8,202601,2,외국인,675381445.1999999,1719902197.800001
43,2026_1-8,202602,2,외국인,617996645.2000002,1632033318.3000002
43,2026_1-8,202603,2,외국인,1607628308.4999995,3817708071.199998
43,2026_1-8,202604,2,외국인,1647672314.2999992,3853376140.500002
43,2026_1-8,202605,2,외국인,1786530660.6000006,4268131471.099999
43,2026_1-8,202606,2,외국인,1536047238.8999999,3818686550.899998
43,2026_1-8,202607,2,외국인,1155173015.4999998,3195775057.4999976
43,2026_1-8,202608,2,외국인,1350641913.4999998,3363815344.9
43,2025,202501,0,현지인,2449240006.299999,11005202119.799997
43,2025,202502,0,현지인,2213270461.7999988,9781529580.5
43,2025,202503,0,현지인,3055463319.700001,13405729867.999998
43,2025,202504,0,현지인,3013950916.9,13063387712.199999
43,2025,202505,0,현지인,3463806036.8000007,14511261282.099989
43,2025,202506,0,현지인,3370402867.4,14102351034.900002
43,2025,202507,0,현지인,4117566397.799999,16180728133.500006
