BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202102,아시아,-85.2,스리랑카,1088.0,161.0,3,전체,20
202102,아시아,-95.4,방글라데시,851.0,39.0,3,남성,21
202102,아시아,-97.1,방글라데시,103.0,3.0,3,여성,21
202102,아시아,59.5,방글라데시,42.0,67.0,3,승무원,21
202102,아시아,-89.1,방글라데시,996.0,109.0,3,전체,21
202102,아시아,-73.5,파키스탄,873.0,231.0,3,남성,22
202102,아시아,-31.0,파키스탄,113.0,78.0,3,여성,22
202102,아시아,-68.6,파키스탄,51.0,16.0,3,승무원,22
202102,아시아,-68.7,파키스탄,1037.0,325.0,3,전체,22
202102,아시아,-98.8,이스라엘,250.0,3.0,3,남성,23
202102,아시아,-95.1,이스라엘,102.0,5.0,3,여성,23
202102,아시아,0.0,이스라엘,0.0,10.0,3,승무원,23
202102,아시아,-94.9,이스라엘,352.0,18.0,3,전체,23
202102,아시아,-69.6,이란,79.0,24.0,3,남성,24
202102,아시아,-67.1,이란,70.0,23.0,3,여성,24
202102,아시아,-100.0,이란,11.0,0.0,3,승무원,24
202102,아시아,-70.6,이란,160.0,47.0,3,전체,24
202102,아시아,-92.9,기타,3175.0,224.0,3,남성,25
202102,아시아,-93.6,기타,955.0,61.0,3,여성,25
202102,아시아,-90.4,기타,428.0,41.0,3,승무원,25
202102,아시아,-92.8,기타,4558.0,326.0,3,전체,25
202102,아메리카,-90.5,연도대륙,26806.0,2547.0,2,남성,0
202102,아메리카,-85.4,연도대륙,22082.0,3220.0,2,여성,0
202102,아메리카,-5.8,연도대륙,7929.0,7466.0,2,승무원,0
202102,아메리카,-76.7,연도대륙,56817.0,13233.0,2,전체,0
202102,아메리카,-89.5,미국,20570.0,2170.0,3,남성,1
202102,아메리카,-83.4,미국,16333.0,2713.0,3,여성,1
202102,아메리카,14.3,미국,5536.0,6329.0,3,승무원,1
202102,아메리카,-73.6,미국,42439.0,11212.0,3,전체,1
202102,아메리카,-94.8,캐나다,4119.0,215.0,3,남성,2
202102,아메리카,-92.6,캐나다,3687.0,274.0,3,여성,2
202102,아메리카,-34.6,캐나다,1240.0,811.0,3,승무원,2
202102,아메리카,-85.6,캐나다,9046.0,1300.0,3,전체,2
202102,아메리카,-92.0,브라질,461.0,37.0,3,남성,3
202102,아메리카,-86.3,브라질,452.0,62.0,3,여성,3
202102,아메리카,-80.7,브라질,275.0,53.0,3,승무원,3
202102,아메리카,-87.2,브라질,1188.0,152.0,3,전체,3
202102,아메리카,-91.6,멕시코,533.0,45.0,3,남성,4
202102,아메리카,-85.8,멕시코,507.0,72.0,3,여성,4
202102,아메리카,-58.1,멕시코,503.0,211.0,3,승무원,4
202102,아메리카,-78.7,멕시코,1543.0,328.0,3,전체,4
202102,아메리카,-92.9,기타,1123.0,80.0,3,남성,5
202102,아메리카,-91.0,기타,1103.0,99.0,3,여성,5
202102,아메리카,-83.5,기타,375.0,62.0,3,승무원,5
202102,아메리카,-90.7,기타,2601.0,241.0,3,전체,5
202102,유럽,-88.9,연도대륙,26483.0,2942.0,2,남성,0
202102,유럽,-86.5,연도대륙,17774.0,2393.0,2,여성,0
202102,유럽,-45.4,연도대륙,10988.0,6001.0,2,승무원,0
202102,유럽,-79.5,연도대륙,55245.0,11336.0,2,전체,0
202102,유럽,-94.6,러시아,9417.0,510.0,3,남성,1
202102,유럽,-94.8,러시아,8592.0,448.0,3,여성,1
202102,유럽,-64.5,러시아,4148.0,1474.0,3,승무원,1
