시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
경주시,309.2755553940538,302.3160783427299,33719887.0,-0.02250251250040347,2.8725,0.5366916637750103,0.10630695309800137,50.69444444444444,91.66666666666666,37.5,20.833333333333336,50.17361111111111,69,평균숙박일수,27,105,0.057
평택시,405.6837405779204,306.8429112279512,37993040.0,-0.24364010548996762,3.4425000000000003,0.580268194666929,0.1016204881894761,91.66666666666666,63.888888888888886,14.583333333333337,29.166666666666664,49.826388888888886,70,체험문화,27,106,0.046
당진시,693.3328393380574,747.0404113174508,14917529.0,0.07746289939283613,3.285,0.5191455908249347,0.09521678092295512,31.944444444444443,72.91666666666667,50.0,43.05555555555556,49.47916666666667,71,-,46,96,0.0
해남군,155.5555039316405,198.91808167929,6241876.0,0.2787595208891187,3.4825,0.4909500676957922,0.09115995387890188,13.194444444444443,60.41666666666667,69.44444444444444,54.861111111111114,49.479166666666664,72,-,46,108,0.0
양산시,302.4965063266767,283.52542514989614,24808015.0,-0.06271504225669644,3.840833333333333,0.5079629138141086,0.08830342260142396,63.888888888888886,13.888888888888884,57.638888888888886,60.41666666666667,48.95833333333333,73,-,47,112,0.0
함양군,28.683652639685164,28.905489501552605,5516530.0,0.007733912575712987,4.0325,0.4752353807882444,0.0842247691687116,42.361111111111114,4.1666666666666625,77.08333333333334,72.22222222222221,48.95833333333333,73,저녁전환율,40,123,0.0
달성군,141.36242653793886,140.02548009486424,20827238.0,-0.009457579894582624,3.7325,0.5143256588754123,0.08308694677286749,45.138888888888886,21.52777777777778,54.16666666666667,74.30555555555556,48.78472222222222,75,-,46,104,0.0
청송군,49.24123436347809,55.59585527797601,3059023.0,0.12905080460799945,3.589166666666667,0.4705741780338359,0.0920205799848616,22.916666666666664,39.583333333333336,81.25,51.388888888888886,48.78472222222222,75,저녁전환율,45,105,0.0
과천시,68.90359851355119,994.1878000598883,14754138.0,13.428677478497187,3.654166666666667,0.4893856873518977,0.07417498226059607,0.0,32.638888888888886,70.13888888888889,92.36111111111111,48.78472222222222,75,야간방문비중,31,127,0.019
김해시,205.85600488732325,190.56612680446173,31838927.0,-0.07427462750591385,3.704166666666667,0.5269241068660293,0.08973764619638634,65.97222222222221,23.611111111111114,47.22222222222222,56.94444444444444,48.4375,78,-,51,102,0.0
칠곡군,150.71234746036995,148.60356448146555,14925537.0,-0.013992104923313708,3.909166666666667,0.5172306648446244,0.07691418638778436,46.52777777777778,9.722222222222221,52.08333333333333,85.41666666666666,48.4375,78,야간방문비중,36,119,0.0
영암군,91.34318060263969,163.85507179987033,7072854.0,0.7938402267014462,3.9233333333333333,0.43684657011687994,0.07499984101951009,2.777777777777779,9.027777777777779,90.97222222222221,90.27777777777779,48.263888888888886,80,저녁전환율 · 야간방문비중,26,136,0.028
태안군,202.82500352848996,183.38312175714736,12187572.0,-0.09585544894918085,2.6058333333333334,0.5753797700752091,0.12094392498045949,69.44444444444444,96.52777777777779,18.055555555555557,7.638888888888884,47.916666666666664,81,평균숙박일수,22,121,0.095
논산시,142.75036344427392,137.97281126836467,11667922.0,-0.03346788099614395,3.736666666666667,0.511996402980599,0.08831703816286489,54.16666666666667,20.833333333333336,56.25,59.72222222222222,47.74305555555556,82,-,58,106,0.0
강릉시,777.0575222960754,661.6800146617096,24100873.0,-0.14848000865295596,2.8658333333333332,0.5869594982094863,0.12481035837464043,81.94444444444444,92.36111111111111,11.805555555555557,4.861111111111116,47.74305555555555,83,체험문화 · 평균숙박일수,19,124,0.109
파주시,474.65888136464,462.80466929031587,35947133.0,-0.024974171009385482,3.5375,0.5295112256297564,0.09538826932909979,51.388888888888886,51.736111111111114,45.138888888888886,42.361111111111114,47.65625,84,-,70,83,0.0
이천시,369.0929740702512,333.73445869731256,25305472.0,-0.09579839730628059,3.7808333333333333,0.5348123880963127,0.08936800127074718,68.75,17.361111111111114,40.97222222222222,58.33333333333333,46.35416666666667,85,-,51,114,0.0
거창군,54.478489272363184,41.3719599467513,4317852.0,-0.24058173236203884,4.0925,0.5104886083988251,0.0984813642998629,90.97222222222221,1.388888888888884,56.94444444444444,36.111111111111114,46.354166666666664,86,체험문화,32,130,0.024
증평군,1610.923473977673,1651.2647819510928,4089954.0,0.025042349078078452,3.7541666666666664,0.5288504028897444,0.07880855414909806,38.19444444444444,19.791666666666664,45.833333333333336,81.25,46.267361111111114,87,야간방문비중,44,115,0.0
화성시,448.26797335220465,384.8855711844057,8054833.0,-0.14139400076658903,3.625833333333333,0.5563913305318587,0.09743141617106098,80.55555555555556,36.80555555555556,26.388888888888886,40.97222222222222,46.18055555555556,88,체험문화,46,106,0.0
광주시,320.39569484966324,329.04573500158966,31393177.0,0.026997991205796934,3.408333333333333,0.5452544593374233,0.09406896404746969,37.5,65.27777777777779,32.638888888888886,47.916666666666664,45.833333333333336,89,-,61,100,0.0
시흥시,354.3479586858935,336.9082273105171,37762705.0,-0.04921640141529815,3.5308333333333333,0.5682257185376226,0.09504560596735033,60.41666666666667,53.47222222222222,20.833333333333336,46.52777777777778,45.3125,90,-,62,104,0.0
영광군,43.51337146710391,47.89736491020548,4648001.0,0.100750488764491,3.5691666666666664,0.4946842205616969,0.09569502146208966,27.77777777777778,46.52777777777778,64.58333333333333,41.666666666666664,45.138888888888886,91,-,65,104,0.0
영주시,128.0630059659619,90.94478191346981,6115623.0,-0.2898434545754597,3.563333333333333,0.5723657144998008,0.10885522323447822,95.13888888888889,48.611111111111114,18.75,18.055555555555557,45.138888888888886,91,체험문화,34,118,0.025
