R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
고성군,강원특별자치도,202608,무박,외지인(b),881415.0,0.0,5431948.53
고성군,경상남도,202608,1박,외국인(c),120.0,3.31,5988.27
고성군,경상남도,202608,1박,외지인(b),51010.0,2.58,1708962.49
고성군,경상남도,202608,2박,외국인(c),70.0,3.31,4284.91
고성군,경상남도,202608,2박,외지인(b),11950.0,2.58,746741.79
고성군,경상남도,202608,3박,외국인(c),22.0,3.31,4301.67
고성군,경상남도,202608,3박,외지인(b),3278.0,2.58,706335.23
고성군,경상남도,202608,4박,외국인(c),9.0,3.31,2954.43
고성군,경상남도,202608,4박,외지인(b),1900.0,2.58,789517.22
고성군,경상남도,202608,5박,외국인(c),10.0,3.31,4375.55
고성군,경상남도,202608,5박,외지인(b),848.0,2.58,683208.57
고성군,경상남도,202608,6박,외국인(c),5.0,3.31,4101.8
고성군,경상남도,202608,6박,외지인(b),553.0,2.58,523513.27
고성군,경상남도,202608,7박이상,외국인(c),22.0,3.31,27583.49
고성군,경상남도,202608,7박이상,외지인(b),1806.0,2.58,3570996.23
고성군,경상남도,202608,무박,외국인(c),1133.0,0.0,6318.63
고성군,경상남도,202608,무박,외지인(b),762220.0,0.0,1999445.44
고양시,경기도,202608,1박,외국인(c),3266.0,3.33,95801.19
고양시,경기도,202608,1박,외지인(b),367750.0,3.05,22679048.7
고양시,경기도,202608,2박,외국인(c),1464.0,3.33,64776.82
고양시,경기도,202608,2박,외지인(b),91283.0,3.05,9663166.7
고양시,경기도,202608,3박,외국인(c),769.0,3.33,99419.4
고양시,경기도,202608,3박,외지인(b),41387.0,3.05,11676278.84
고양시,경기도,202608,4박,외국인(c),582.0,3.33,140556.1
고양시,경기도,202608,4박,외지인(b),23285.0,3.05,11686354.48
고양시,경기도,202608,5박,외국인(c),236.0,3.33,102040.37
고양시,경기도,202608,5박,외지인(b),15171.0,3.05,11677355.72
고양시,경기도,202608,6박,외국인(c),192.0,3.33,119793.69
고양시,경기도,202608,6박,외지인(b),9703.0,3.05,10265707.59
고양시,경기도,202608,7박이상,외국인(c),431.0,3.33,511612.67
고양시,경기도,202608,7박이상,외지인(b),44448.0,3.05,83087049.51
고양시,경기도,202608,무박,외국인(c),64094.0,0.0,216454.44
고양시,경기도,202608,무박,외지인(b),10613945.0,0.0,27982797.77
고양시 덕양구,경기도,202608,1박,외국인(c),878.0,3.48,30627.72
고양시 덕양구,경기도,202608,1박,외지인(b),145411.0,3.05,8669699.68
고양시 덕양구,경기도,202608,2박,외국인(c),308.0,3.48,17520.64
고양시 덕양구,경기도,202608,2박,외지인(b),36659.0,3.05,3870280.7
고양시 덕양구,경기도,202608,3박,외국인(c),183.0,3.48,26264.07
고양시 덕양구,경기도,202608,3박,외지인(b),16491.0,3.05,4601778.57
고양시 덕양구,경기도,202608,4박,외국인(c),154.0,3.48,42811.86
고양시 덕양구,경기도,202608,4박,외지인(b),8753.0,3.05,4343816.12
고양시 덕양구,경기도,202608,5박,외국인(c),63.0,3.48,29436.58
